2018-12-12 10:04:45 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:04:51 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:04:56 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:05:01 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:05:06 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:05:11 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:05:17 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:05:22 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:05:27 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:05:32 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:05:37 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:05:42 ResendWalletTransactions()
2018-12-12 10:05:42 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:05:48 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:05:53 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:05:58 UpdateTip: new best=d332b1240fe58453c51f7093d2799cee5afb5e35284d0d8b45f3d40d11073dbe  height=90436  log2_work=61.997612  tx=289390  date=2018-12-12 09:39:04 progress=0.999871  cache=39657
2018-12-12 10:05:58 ProcessNewBlock : ACCEPTED in 10 milliseconds with size=756
2018-12-12 10:05:58 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:06:03 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:06:09 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:06:14 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:06:19 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:06:24 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:06:29 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:06:34 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:06:39 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:06:44 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:06:49 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:06:55 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:07:00 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:07:05 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
